Abdomen	The tummy area from the lower ribs to the pelvis.
CMV	A common infection caused by the herpes simplex virus that is spread from person to person by bodily fluids (blood, breast milk, saliva and semen). CMV does not usually cause symptoms in healthy people, but if you catch it for the first-time during pregnancy it can sometimes be passed to the baby which can cause them to have health problems.
Colostrum	The first breastmilk produced during pregnancy and in the first few days after your baby is born.
Colposcope	A type of microscope used to see the cervix in detail during colposcopy. It has a light attached and stays outside of the body.
Colposcopist, colposcopy nurse specialist or nurse colposcopist	A doctor or nurse who has completed medical or nursing training and continued onto colposcopy training.
Colposcopy	A hospital examination used to diagnose, monitor and treat cervical cell changes.
Complementary therapy	Treatments and therapies that are not part of conventional medicine. Examples include acupuncture, homeopathy and herbal medicine.
Complete miscarriage	When all the tissue associated with a pregnancy has gone and the uterus is empty.
Complications	Problems that develop after an operation, treatment or illness.
consultant-led	A  consultant led maternity unit is a maternity unit where there are specialist doctors (obstetricians and anesthetists) as well as midwives, available at all times to look after you during your labour and the birth of your baby. There will also be neonatologists (doctors who specialize in the care of new born babies) available to look after your baby if they need additional support at birth. You may be advised to give birth in a consultant led unit if you have risk factors which may make labour or birth more complicated for you or your baby.
Conception	When an egg is fertilised by sperm and then starts to grow in the womb.
Condition	A state of being, like being healthy or fit, or having a problem, such as a heart problem.
Confidentiality	The duty of health care professionals to not inappropriately share personal information disclosed to them in the course of their professional duties, by following the regulations regarding information sharing set out by the law and the General Medical Council
Continence	Having full control of the bladder and/or bowel. See also stress incontinence.
Contraception	Contraception, or birth control, is what you and your partner can use to help prevent an unwanted pregnancy or to space out your pregnancies. There are many different forms of contraception  including condoms, hormonal pills and implants, hormonal and non-hormonal coils and permanent methods such as female sterilization or vasectomy. You can get more information about contraception from your GP or a family planning clinic.
Corticosteroids	A group of hormones which may be used to suppress the body’s immune response or to reduce inflammation. Also used during pregnancy in women who are thought may have their baby prematurely. They reduce the chance of the baby having problems from being born prematurely. See also steroids.
Counsellor	A trained professional who helps people to make sense of feelings and issues.
CTG	This is a machine that measures your baby's heart beat and your contractions by using sensors that are attached to your abdomen with an elastic belt
cardio-tocograph	This is a machine that measures your baby's heart beat and your contractions by using sensors that are attached to your abdomen with an elastic belt
Cystocele	When the bladder bulges into the weakened wall of the vagina. A lump may be seen or felt.
Dilatation and evacuation	Surgery using instruments to end the pregnancy.
Deep vein thrombosis	A blood clot that forms in a deep vein.
D&E	Surgery using instruments to end the pregnancy.
DVT	A blood clot that forms in a deep vein.
Delayed cord clamping	Delaying the cutting of the umbilical cord for a few minutes, which allows time for extra blood to flow from the placenta into the baby.
Delayed miscarriage/missed miscarriage/silent miscarriage	A pregnancy that has ended although the fetus is still inside the uterus. Sometimes, because the fetus hasn’t developed, it can no longer be seen and there is just a fluid-filled sac inside the womb.
Delivery	Birth of a baby and its afterbirth (see placenta). A baby may be delivered through the vagina or by caesarean section.
Diabetes	A condition caused by high levels of glucose (a form of sugar) in the blood. The amount of glucose in your blood is controlled by a hormone called insulin. See also Diabatetes Type 1 and Type 2 below.
Diabetes – type 1	A serious, lifelong condition where your blood glucose level is too high because your body can't make a hormone called insulin, which controls blood glucose.
Diabetes – type 2	A serious condition where the insulin your pancreas makes can’t work properly, or your pancreas can’t make enough insulin. Insulin is a hormone that controls blood glucose levels. If you blood glucose levels are too high it can cause a variety of health problems for you
Diagnosis	The way a medical professional recognises a condition or disease.
Diathermy	A surgical procedure to heat up and destroy body tissue or stop bleeding. Also known as electrocoagulation.
Dilatation	The process of your cervix opening during labour.
Discharge letter	A letter a hospital doctor sends to a GP once treatment has finished telling the GP what has been done. The patient should be given a copy.
Disease	An abnormal condition in the body causing harm.
Donor insemination	When sperm from a donor is put into a woman’s vagina, cervix or womb to help start a pregnancy.
Doppler	A method for measuring the flow of blood, for example through the umbilical cord during pregnancy.
Dysmenorrhoea	Painful periods.
Dyspareunia	Pain during or after sexual intercourse.
Ectopic pregnancy	When a fertilised egg (embryo) implants outside the womb (usually in one of the fallopian tubes).
Early miscarriage	When a woman loses her baby in the first three months of pregnancy.
Early pregnancy assessment unit	A clinic that specialises in problems in early pregnancy (under 12 weeks) where a woman receives medical care, counselling and treatment as required.
Eclampsia	Seizures/fits that are a potentially life-threatening complication of pre-eclampsia.
Electrocoagulation	See diathermy.
Embryo	A fertilised egg.
Emergency caesarean delivery	A caesarean delivery which was not planned during pregnancy. It is usually done because labour is not progressing normally or when the baby is unable to cope with labour and becomes distressed.
Endometriosis	A condition where cells of the lining of the womb (the endometrium) are found elsewhere, usually around the pelvis and near the womb.
Endometritis	Inflammation of the lining of the womb, causing discomfort or pain.
Endometrium	The lining of the womb (uterus).
Enzyme	A protein found in cells that speeds up chemical reactions in the body.
Epidural	An anaesthetic injection into the space around the nerves in your back to numb the lower body.
Episiotomy	A cut made through the vaginal wall and perineum to make more space to deliver the baby.
Erb’s palsy	Damage to the nerves in the baby’s neck (brachial plexus injury) which reduces movement of and feeling in the baby’s arm.
Estrogen	A female sex hormone produced by the ovaries as part of the menstrual cycle. It encourages an egg to mature and prepares the womb for a pregnancy. Levels vary during the menstrual cycle.
Evidence-based medicine	A way of using reliable, objective, up-to-date evidence about how well different treatments or interventions work. It is also used to diagnose or predict the course of specific conditions.
Extended or frank breech	The baby is bottom first, with the thighs against the chest and feet up by the ears. Most breech babies are in this position.
External cephalic version	Gentle pressure applied to the abdomen, if the baby is breech, by the obstetrician or midwife towards the end of pregnancy to help the baby turn in the uterus so it lays head first.
ECV	Gentle pressure applied to the abdomen, if the baby is breech, by the obstetrician or midwife towards the end of pregnancy to help the baby turn in the uterus so it lays head first.
allopian tubes	The pair of hollow tubes leading from the womb to the fimbriae near the ovaries. Each month one ovary releases an egg, which moves down the fallopian tube into the womb. The fallopian tube is where the egg is fertilised by sperm in natural conception.
Fecundity	Being fertile.
Female genital mutilation	The partial or total removal of a woman’s external genitals or other deliberate injury to her genital organs. It is illegal in the UK.
FGM	The partial or total removal of a woman’s external genitals or other deliberate injury to her genital organs. It is illegal in the UK.
Fertilisation	When a sperm enters an egg and an embryo forms. Natural fertilisation takes place inside a woman’s fallopian tubes. It can also take place outside the body, which is known as assisted conception. Techniques include IVF. See IVF and ART.
Fertility	The ability to conceive a baby and, for a woman, to become pregnant.
Fertility drugs	Treatment to encourage the ovaries to produce an egg. It is used during treatment for infertility.
Fertility problem/infertility/subfertility	When a couple fail to conceive after having regular sexual intercourse for more than a year. ‘Regular’ is defined as two or three times a week.
Fetus	An unborn baby.
Fetal medicine specialist	A doctor who specialises in the growth, development, care and treatment of an unborn baby.
Fibroids	Non-cancerous growths that develop in the muscle (myometrium) of the womb (uterus). A woman can have one fibroid or many, and they can be of different sizes. Fibroids are sometimes known as uterine myomas or leiomyomas.
Fimbriae	The fern-like ends of the fallopian tubes, near the ovaries.
First-degree tear	A small skin-deep tear of the perineum during childbirth which usually heals naturally.
Flexed breech position	The baby is laying bottom first in the womb, with the thighs against the chest and the knees bent.
Folic acid	A B vitamin which reduces the risk of a baby being born with a spinal defect such as spina bifida. Ideally, a woman should take folic acid (400 micrograms) 3 months before conceiving. All women should take it for the first 12 weeks of pregnancy. A higher dosage (5 mg) is recommended if you are overweight, on epilepsy treatment, are diabetic or are having twin/triplets.
Follicle	The part of the ovary where the egg develops.
Follicle-stimulating hormone (FSH)	Hormones which help the development of follicles during a woman’s menstrual cycle and regulate sperm and hormone function in men.
Footling breech	When a breech baby’s foot or feet are lying below its bottom.
Forceps delivery	Smooth metal instruments like large spoons or tongs which are used to help deliver the baby. See also assisted birth.
Fourth-degree tear	A tear during childbirth which extends to the anal canal as well as the rectum.
Gamma globulin	A natural substance in the blood that protects against disease and infection. It is also used as a drug to boost immunity.
Gastroenteritis	Inflammation of the stomach and intestines, usually resulting in diarrhoea or vomiting.
Gastrointestinal	Relating to the stomach and intestine.
Gene	A biological unit which passes on inherited information from parent to child, like facial characteristics.
Genetic	Relating to, caused or controlled by genes.
Genetic counselling	Discussions with a specialist to help you decide what to do if you, your partner or a close relative is found to carry an inheritable disease.
Genitals	The sexual organs: in a woman, the vagina and vulva; and in a man, the penis and testicles.
Genital herpes	An infection caused by the virus Herpes simplex (the virus that also causes cold sores). It is passed from one person to another by skin-to-skin contact. See also herpes.
Gestation	The time between conception and birth, when the fetus grows and develops inside the mother’s womb.
Gestational age	The age of the baby in the womb, measured in weeks from the first day of the woman’s last menstrual period. A normal pregnancy lasts between 37 and 41 completed weeks, so a baby’s gestation is usually around 40 weeks.
Gestational diabetes	A form of diabetes triggered during pregnancy.
Gestational Trophoblastic Disease	An uncommon group of conditions involving the placenta, which includes complete and partial molar pregnancies
Gestational Trophoblastic Neoplasia	This is a rare form of cancer which can develop from a molar pregnancy or other forms of gestational trophoblastic disease
GTD	An uncommon group of conditions involving the placenta, which includes complete and partial molar pregnancies
GTN	This is a rare form of cancer which can develop from a molar pregnancy or other forms of gestational trophoblastic disease
Gonadotrophin-releasing hormone agonist	A synthetic hormone-like drug which holds back the production of eggs.
Gonadotrophins	Hormones that help ovulation in women and the production of sperm in men. See also follicle-stimulating hormone, human chorionic gonadotrophin and luteinising hormone.
Gonorrhoea	A sexually transmitted infection caused by the bacteria Neisseria gonorrhoea or gonococcus. It is treated with antibiotics, and can cause long lasting damage in both partners if left untreated.
Graduated elastic compression stocking	An elasticated stocking which helps reduce swelling from deep vein thrombosis (DVT).
Group B streptococcus	A bacterium that is commonly present within the vagina. However, it can cause a serious infection in a newborn baby. It can also cause infection in the womb (endometritis).
GBS	A bacterium that is commonly present within the vagina. However, it can cause a serious infection in a newborn baby. It can also cause infection in the womb (endometritis).
Guideline	Recommendations for good medical practice. They help patients and their medical teams make decisions about care (like those produced by the RCOG) and are developed by specialist teams who look at the best evidence available about care or treatment for a particular condition.
Gynaecologist	A doctor who treats medical conditions and diseases that affect women and their reproductive organs.
Highly active antiretroviral therapy	A combination of drugs used to treat people with HIV. It works by blocking the action of the virus and the progress of the infection.
HAART	A combination of drugs used to treat people with HIV. It works by blocking the action of the virus and the progress of the infection.
ART	A combination of drugs used to treat people with HIV. It works by blocking the action of the virus and the progress of the infection.
Haematologist	A doctor who specialises in the diagnosis and treatment of diseases of the blood.
Haemolysis	Breaking down of red blood cells in the body.
Haemorrhage	Very heavy bleeding. In pregnancy it is called different names depending on the stage of pregnancy. It can happen:
Before 24 weeks of pregnancy (threatened miscarriage or miscarriage if the pregnancy is lost)
After 24 weeks of pregnancy (antepartum haemorrhage)
Immediately after birth (postpartum haemorrhage)
HELLP syndrome	A combined liver and blood clotting disorder which is a complication of pre-eclampsia.
Heparin	A type of anti-coagulant medication that is given by injection.
Herpes	A family of viruses which cause a range of infections including chickenpox (Herpes zoster, or varicella), cold sores and genital herpes (Herpes simplex).
High-dependency unit	A ward or area in a hospital that provides care for people who need intensive observation or treatment.
Hormone treatment	The use of hormones to treat disease or to replace hormones no longer produced by the body.
Hormones	Naturally occurring substances made in the body which control the activity of normal cells. They include: follicle stimulating hormone, gonadotrophins, human chorionic gonadotrophin, luteinising hormone, estrogen, progesterone, prostaglandin.
HRT	Hormone replacement therapy is the use of hormones to treat symptoms related to low levels of hormones in the body.
Human chorionic gonadotrophin	A hormone made by the placenta which shows up in a woman’s blood or urine if she is pregnant. May be used as part of assisted conception to help eggs to mature and to help an embryo attach to the womb.
Human immunodeficiency virus	A viral infection which attacks the body’s immune system, making it hard to fight off other infections. HIV is passed through contact with body fluids (blood, semen, vaginal fluid and breast milk).
hCG	A hormone made by the placenta which shows up in a woman’s blood or urine if she is pregnant. May be used as part of assisted conception to help eggs to mature and to help an embryo attach to the womb.
HIV	A viral infection which attacks the body’s immune system, making it hard to fight off other infections. HIV is passed through contact with body fluids (blood, semen, vaginal fluid and breast milk).
Human papillomavirus or HPV	A common virus that most men and women will have at some point in their life. In most people, HPV will go away by itself without causing problems. A few types of HPV can cause cell changes that may develop into cancer.
Hyperprolactinaemia	A disorder which increases the normal level of the hormone prolactin. It can cause irregular periods and fertility problems.
Hypertension	Raised blood pressure.
Hypotension	Low blood pressure.
Hypothalamus	A small structure at the base of the brain which regulates body functions such as temperature and appetite.
Hysterectomy	An operation to remove the cervix and womb, carried out through a cut on the abdomen (abdominal hysterectomy) or the vagina (vaginal hysterectomy). The ovaries can be removed at the same time, if necessary.
Hysterosalpingo-contrast-sonography	An ultrasound test of the fallopian tubes or the womb, using fluid injected through the cervix.
Hysterosalpingogram	An X-ray of the fallopian tubes or the womb, using fluid injected through the cervix.
HSG	An X-ray of the fallopian tubes or the womb, using fluid injected through the cervix.
Hysteroscopy and endometrial biopsy	A small operation which opens the entrance to the womb (cervix) to remove tissue from the lining of the womb (the endometrium).
Immune system	The way the body defends itself against infection, disease and outside substances.
Immunity	Protection against infectious diseases through the action of the immune system. You can become immune to some diseases by catching them. Vaccinations also provide immunity.
Immunotherapy	Treatment to prevent or change the response of the immune system.
Implantation	The process through which an embryo attaches to the lining of the womb.
In vitro fertilisation	A technique where eggs are collected from a woman and fertilised with a man’s sperm outside the body. Usually one or two embryos are then transferred to the womb. If one or more of them implants successfully, the woman becomes pregnant.
IVF	A technique where eggs are collected from a woman and fertilised with a man’s sperm outside the body. Usually one or two embryos are then transferred to the womb. If one or more of them implants successfully, the woman becomes pregnant.
Incomplete miscarriage	When a miscarriage has started but some tissue remains in the uterus.
Incontinence	Not having full control over the bladder and/or bowel. Problems with incontinence can range from slight to severe. See also stress incontinence.
Induction of labour	When labour is started artificially.
Infectious	Conditions which can be passed from person to person by micro-organisms like viruses or bacteria.
Infertility problem	When a couple fail to conceive after having regular sexual intercourse for more than a year. ‘Regular’ is defined as two or three times a week.
ubfertility problem	When a couple fail to conceive after having regular sexual intercourse for more than a year. ‘Regular’ is defined as two or three times a week.
fertility problem	When a couple fail to conceive after having regular sexual intercourse for more than a year. ‘Regular’ is defined as two or three times a week.
Inflammation	A bodily response in which white blood cells and other immune cell protect your body from disease or injury.
Informed decision/choice	Providing enough quality information about a suggested treatment to help a patient decide whether to go ahead. This information must be balanced, up to date, evidence-based and given in a way that the patient can understand.
Infusion	A way of putting a drug or fluid into the bloodstream through a needle at a steady rate over a period of time.
Intensive care unit	A specialist unit within a hospital that provides extra care for seriously ill people.
Interstitial cystitis	Inflammation of the bladder wall.
Intracytoplasmic sperm injection	A form of assisted conception in which a single sperm is injected into an egg.
ICSI	A form of assisted conception in which a single sperm is injected into an egg.
Intrapartum	During birth.
Intrauterine contraceptive device	A small device fitted into the womb to prevent conception. Made of plastic and copper, it has one or two soft threads at the end which emerge through the cervix into the top of the vagina.
Intrauterine insemination	A form of assisted conception which places sperm into a woman’s womb through the cervix.
Intrauterine system	A small T-shaped contraceptive device that is fitted into the womb. Made of plastic, it slowly releases the hormone progestogen.
Intravenous drip	Fluids put into a vein to rehydrate the body. Drips contain different combinations of minerals and chemicals, for example sugar and carbohydrate to provide extra energy.
IUCD	A small device fitted into the womb to prevent conception. Made of plastic and copper, it has one or two soft threads at the end which emerge through the cervix into the top of the vagina.
IUI	A form of assisted conception which places sperm into a woman’s womb through the cervix.
IUS	A small T-shaped contraceptive device that is fitted into the womb. Made of plastic, it slowly releases the hormone progestogen.
IV drip	Fluids put into a vein to rehydrate the body. Drips contain different combinations of minerals and chemicals, for example sugar and carbohydrate to provide extra energy.
Invasive	A medical procedure when a cut is made to the body or an instrument is inserted.
Irritable bowel syndrome	A chronic disorder involving abdominal pain, bloating and changes in bowel habits, such as diarrhea. It is caused by an overactive bowel.
IBS	A chronic disorder involving abdominal pain, bloating and changes in bowel habits, such as diarrhea. It is caused by an overactive bowel.
Karyotype	A record of the complete set of your chromosomes.
Karyotyping	A procedure to produce a karyotype using a blood or tissue sample. It is used to check for abnormalities in the chromosomes.
Ketones	An acid remaining when the body burns its own fat. It is often a sign of dehydration and can be tested by a blood or urine test.
Kidney	The body’s two kidneys keep fluids balanced by filtering the blood. Waste products are then excreted as urine.
Klumpe’s paralysis	Reduced movement in the baby’s arm from damage to nerves in the baby’s neck (see brachial plexus injury).
Laparoscopic ovarian drilling/diathermy	A surgical treatment for polycystic ovary syndrome to improve irregular periods. Small cuts are made in the abdomen and an electrical current is used to destroy a tiny part of the ovaries.
Labour	The stages of childbirth. Labour is divided into three stages; first, second and third.
Laparoscopy	Keyhole surgery involving up to four small cuts in the abdomen. A telescopic microscope (called a laparoscope) is inserted into the body to help diagnosis or treatment.
Laparotomy	A cut up to 14 inches long giving surgeons access to the abdomen.
Large loop excision of the transformation zone (LLETZ)	See LLETZ below
Laxatives	Medication to open bowels.
Libido	Sexual desire.
LLETZ	A common treatment for cervical cell changes that uses a loop-shaped wire to remove the affected area. Sometimes called loop electrosurgical excisional procedure (LEEP). See LLETZ patient information.
Lupus	A condition caused by your immune system mistakenly attacking healthy cells in your body. Symptoms may include problems with your skin, joints and kidneys; extreme tiredness and muscle pain.
Luteinising hormone	A natural hormone released during the menstrual cycle to help stimulate ovulation.
LH	A natural hormone released during the menstrual cycle to help stimulate ovulation.
Lynch Syndrome	Also known as hereditary non-polyposis colorectal cancer (HNPCC), is a type of inherited cancer syndrome associated with a genetic predisposition to different cancer types. This means people with Lynch syndrome have a higher risk of certain types of cancer
Major placenta praevia	A low-lying placenta entirely covering the cervix. See also placenta praevia.
Meconium	The poo that your baby does when they are first born. It is black and sticky like tar. Sometimes your baby can do a poo (pass meconium) before they are born. If this happens you may be advised to have closer monitoring during labour and your baby will be monitored more closely when they are first born.
Medical abortion	A way of ending a pregnancy by using medicines. See also abortion and surgical abortion.
Membranes	Another word for the amniotic sac.
Mesh	Mesh (sometimes known as tape) is a synthetic plastic product that looks like a net. It stays in the body permanently. A natural mesh can be created using a strip of tissue (fascia) taken from another part of the body, usually abdominal wall or thigh, which is also known as fascial or autologous sling.
Meningitis	Inflammation in the brain caused by a virus or bacteria.
Menopause	The time when a woman’s periods stop, usually around 50 years of age. See also menstrual cycle.
Menstrual cycle	The monthly process in which an egg develops and the lining of the womb is prepared for possible pregnancy. If the egg is not fertilised, it is reabsorbed back into the body and the lining of the womb (the endometrium) is shed. This is known as a period or menstruation. The cycle is controlled by hormones and on average a cycle lasts 28 days.
Meta-analysis	A way of combining and contrasting results from different studies with the aim of finding underlying patterns common to all.
Miscarriage	The unplanned ending of a pregnancy before 23 completed weeks.
Midtrimester	The middle stage of pregnancy, between 13 and 26 weeks.
Molar pregnancy	A rare condition where the placenta overgrows and the embryo does not form correctly.
Multiple pregnancy	When a woman is carrying more than one baby, e.g. twins or triplets.
Musculoskeletal	The body’s support structure: the bones, ligaments, joints and muscles.
Neonatal unit	An intensive care unit designed with special equipment to care for premature or seriously ill newborn babies.
Neonatalologist	A doctor who specialises in caring for newborn babies.
Neural tube defects	Abnormalities of the skull or back bone of a developing baby that happen during the first 12 weeks of your pregnancy and which will affect your baby from birth. Taking folic acid before becoming pregnant and for the first 3 months of pregnancy can help to prevent neural tube defects.
Obstetrician	A doctor who specialises in the care of pregnant women.
Oedema	Swelling in any part of the body.
Oestrogen	See estrogen.
Oligohydramnios	Too little fluid (amniotic fluid) surrounding the baby in the uterus.
Oocyte donation	When eggs are donated to help another women become pregnant.
Os	The opening of the cervix.
Ovarian hyperstimulation syndrome	A potentially serious complication of fertility treatment, particularly of IVF. Symptoms are abdominal swelling or bloating, nausea and vomiting.
OHSS	A potentially serious complication of fertility treatment, particularly of IVF. Symptoms are abdominal swelling or bloating, nausea and vomiting.
Ovaries	A pair of organs (each about the size of an almond) in a woman’s pelvis. They produce follicles from which eggs develop.
Ovulation	The process by which the ovaries produce and release an egg each month. Ovulation usually takes place around 10–16 days before a period.
Oxytocics	Drugs that stimulate the womb to contract.
Peer review	An assessment of the content and quality of a report or body of research by a group of individuals who have a range of expertise in a particular field.
Paediatrician	A doctor who specialises in the care of babies, children and teenagers.
Pelvic	Of the pelvis.
Pelvic congestion	Swollen pelvic veins.
Pelvic examination,
bimanual	A check to feel the size and position of the womb and other reproductive organs to rule out any abnormality or problem.
Pelvic floor muscles	Layers of muscle which support the bladder and other organs in the pelvis.
Pelvic inflammatory disease	An infection in the womb, fallopian tubes and/or pelvis caused by infections such as chlamydia and gonorrhoea.
PID	An infection in the womb, fallopian tubes and/or pelvis caused by infections such as chlamydia and gonorrhoea.
Pelvic pain	Pain in the lower abdomen or pelvis.
Pelvis	The bony structure at the lower part of the abdomen.
Perineal tear	When the perineum (area between your vaginal opening and anus) tears during childbirth.
Perineum	The area of skin between the vagina and the anus.
Period	A bleed from the vagina between every 3 to 5 weeks which forms part of the menstrual cycle (see menstrual cycle).
Peritoneum	The tissue that lines the abdominal wall and covers most of the organs in the abdomen.
Pessaries	A medication or device which is placed in the vagina.
Physiotherapy	Special exercises and physical activities to improve body function and strength.
Pituitary gland	A gland in the brain that produces hormones.
Placenta	An organ which develops in the womb linking the baby with the mother’s system. It is delivered after the baby, when it is known as the afterbirth.
Placenta accreta	When the placenta is attached to the muscle of the womb and does not come away properly after the birth.
